id_rollo,fecha,codigo_tela,tipo,color,kg_rollo,observacion
114,2026-05-11 20:44:17.855848,1,MORLEY SOFT,CHOCO,23.2,
115,2026-05-11 20:44:17.856206,1,MORLEY SOFT,CHOCO,23.3,
116,2026-05-11 20:44:17.856415,1,MORLEY SOFT,CHOCO,23.4,
117,2026-05-11 20:44:17.856608,1,MORLEY SOFT,CHOCO,23.4,
118,2026-05-11 20:44:17.856888,1,MORLEY SOFT,CHOCO,23.1,
119,2026-05-11 20:44:17.857356,1,MORLEY SOFT,CHOCO,23.1,
120,2026-05-11 20:44:17.858336,1,MORLEY SOFT,CHOCO,23.4,
121,2026-05-11 20:44:17.858774,1,MORLEY SOFT,CHOCO,23.8,
122,2026-05-11 20:44:17.859031,1,MORLEY SOFT,CHOCO,23.7,
123,2026-05-11 20:44:17.859238,1,MORLEY SOFT,CHOCO,23.1,
124,2026-05-11 20:44:17.859434,1,MORLEY SOFT,CHOCO,23.2,
125,2026-05-11 20:44:17.859639,1,MORLEY SOFT,CHOCO,23,
126,2026-05-11 20:44:17.859829,1,MORLEY SOFT,CHOCO,23.4,
127,2026-05-11 20:44:17.860127,1,MORLEY SOFT,CHOCO,21.1,
128,2026-05-11 20:44:17.860355,1,MORLEY SOFT,CHOCO,22.8,
129,2026-05-11 20:44:17.860556,1,MORLEY SOFT,CHOCO,23,
130,2026-05-11 20:47:14.504683,1,MORLEY SOFT,COCOA,29.7,
131,2026-05-11 20:47:14.504985,1,MORLEY SOFT,COCOA,23.2,
132,2026-05-11 20:47:14.505196,1,MORLEY SOFT,COCOA,24.4,
133,2026-05-11 20:47:14.505405,1,MORLEY SOFT,COCOA,23.2,
134,2026-05-11 20:47:14.50559,1,MORLEY SOFT,COCOA,23.4,
135,2026-05-11 20:47:14.505769,1,MORLEY SOFT,COCOA,23.3,
136,2026-05-11 20:47:14.505943,1,MORLEY SOFT,COCOA,23.1,
137,2026-05-11 20:47:14.506138,1,MORLEY SOFT,COCOA,19.2,
138,2026-05-11 20:47:14.506708,1,MORLEY SOFT,COCOA,23.4,
139,2026-05-11 20:47:14.507138,1,MORLEY SOFT,COCOA,23.2,
140,2026-05-11 20:47:14.507578,1,MORLEY SOFT,COCOA,22.6,
141,2026-05-11 20:47:14.507819,1,MORLEY SOFT,COCOA,23.2,
142,2026-05-11 20:47:14.508087,1,MORLEY SOFT,COCOA,23.1,
143,2026-05-11 20:47:14.508306,1,MORLEY SOFT,COCOA,15.1,
144,2026-05-11 20:47:14.508521,1,MORLEY SOFT,COCOA,23.1,
203,2026-05-13 14:59:17.373166,1,MORLEY SOFT,BORRAVINO,23.3,
204,2026-05-13 14:59:17.373652,1,MORLEY SOFT,BORRAVINO,23,
205,2026-05-13 14:59:17.37388,1,MORLEY SOFT,BORRAVINO,23.1,
