codigo_tela,tipo,color,precio_kg,minimo_kg
1,MORLEY SOFT,BORDO,5900,30
1,MORLEY SOFT,GRIS MELANGE,5900,30
1,MORLEY SOFT,BORRAVINO,5900,30
1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),5900,30
1,MORLEY SOFT,UVA,5900,30
1,MORLEY SOFT,VISON,5900,30
1,MORLEY SOFT,TOPO MELANGE,5900,30
1,MORLEY SOFT,COCOA,5900,30
1,MORLEY SOFT,CHOCO,5900,30
1,MORLEY SOFT,OFF WHITE,5900,30
1,MORLEY SOFT,JET BLACK,5900,30
1,MORLEY SOFT,BEIGE,5900,30
2,FRISA PREMIUM,OFF WHITE,12500,30
2,FRISA PREMIUM,BEIGE,12500,30
2,FRISA PREMIUM,NEGRO,12500,30
3,JERSEY PEINADO,GRIS MELANGE,10600,30
3,JERSEY PEINADO,UVA,10600,30
3,JERSEY PEINADO,OFF WHITE,10600,30
3,JERSEY PEINADO,NEGRO,10600,30
3,JERSEY PEINADO,COCOA,10600,30
3,JERSEY PEINADO,MALVA,10600,30
3,JERSEY PEINADO,CHOCOLATE,10600,30
3,JERSEY PEINADO,AZUL DEMIN,10600,30
3,JERSEY PEINADO,CELESTE,10600,30
3,JERSEY PEINADO,BEIGE,10600,30
4,WAFFLE RAYADO,NEGRO,8100,30
4,WAFFLE RAYADO,BLANCO,8100,30
4,WAFFLE RAYADO,BEIGE,8100,30
4,WAFFLE RAYADO,CAMEL,8100,30
4,WAFFLE RAYADO,CHOCOLATE,8100,30
